time,open,high,low,close,Fast_MA,Slow_MA,Signal,Crossover
2024-08-13 06:00:00,1.09353,1.09383,1.0935,1.09368,1.0922794,1.0901425999999999,0,0.0
2024-08-13 07:00:00,1.09368,1.09393,1.09355,1.09391,1.0923171999999999,1.0901996,0,0.0
2024-08-13 08:00:00,1.09392,1.09409,1.09372,1.09396,1.0923528,1.0902568,0,0.0
2024-08-13 09:00:00,1.09405,1.09406,1.09323,1.09329,1.0923864,1.09031355,0,0.0
2024-08-13 10:00:00,1.09329,1.09346,1.09263,1.09299,1.0924118,1.09036785,0,0.0
2024-08-13 11:00:00,1.09299,1.09299,1.09205,1.09231,1.0924326,1.0904209,0,0.0
2024-08-13 12:00:00,1.09231,1.09267,1.0913599999999999,1.09196,1.0924239999999998,1.0904686,0,0.0
2024-08-13 13:00:00,1.09196,1.0924800000000001,1.09179,1.09231,1.0924194,1.0905146000000001,0,0.0
2024-08-13 14:00:00,1.09229,1.09321,1.09223,1.093,1.0924306,1.0905630499999999,0,0.0
2024-08-13 15:00:00,1.09301,1.09465,1.09254,1.09407,1.0924513999999999,1.09061165,0,0.0
2024-08-13 16:00:00,1.09408,1.09623,1.09378,1.09586,1.0924978,1.0906687000000002,0,0.0
2024-08-13 17:00:00,1.09585,1.09617,1.0950199999999999,1.09556,1.092583,1.0907343999999999,0,0.0
2024-08-13 18:00:00,1.0956,1.09586,1.09481,1.09534,1.092671,1.09080415,0,0.0
2024-08-13 19:00:00,1.09533,1.09738,1.09528,1.09722,1.0927334,1.09088035,0,0.0
2024-08-13 20:00:00,1.09723,1.09784,1.09697,1.09767,1.092832,1.0909742999999998,0,0.0
2024-08-13 21:00:00,1.09767,1.09993,1.09766,1.09991,1.0929374,1.09107375,0,0.0
2024-08-13 22:00:00,1.09985,1.09996,1.09939,1.09959,1.0930986,1.09118115,0,0.0
2024-08-13 23:00:00,1.0996,1.09987,1.09914,1.0991900000000001,1.0932491999999998,1.0912832000000001,0,0.0
2024-08-14 00:00:00,1.099,1.09932,1.09793,1.09922,1.0933941999999999,1.09138095,0,0.0
2024-08-14 01:00:00,1.09922,1.09972,1.0992,1.09965,1.0935414,1.0914758500000001,0,0.0
