time,open,high,low,close,tick_volume,spread,real_volume
1737706920,1.04576,1.04576,1.04554,1.04554,29,4,0
1737706980,1.04554,1.04559,1.04542,1.04558,32,4,0
1737707040,1.04557,1.04557,1.04545,1.0455,30,4,0
1737707100,1.04551,1.04567,1.04546,1.04567,29,4,0
1737707160,1.04568,1.04572,1.04556,1.04563,28,4,0
1737707220,1.04563,1.04568,1.04543,1.04552,28,4,0
1737707280,1.04552,1.04561,1.04549,1.04559,23,4,0
1737707340,1.04559,1.04559,1.04547,1.04547,23,4,0
1737707400,1.04547,1.04562,1.04544,1.04561,26,4,0
1737707460,1.04558,1.04559,1.04557,1.04558,7,4,0
1737707520,1.04558,1.0456,1.04521,1.04535,32,4,0
1737707580,1.04536,1.04558,1.04525,1.04554,46,4,0
1737707640,1.04558,1.04585,1.04553,1.04581,45,4,0
1737707700,1.04581,1.04581,1.0456,1.04568,31,4,0
1737707760,1.04576,1.04586,1.04561,1.04579,52,4,0
1737707820,1.04582,1.04598,1.04576,1.04588,58,4,0
1737707880,1.0459,1.04702,1.04589,1.04665,98,3,0
1737707940,1.04665,1.04678,1.04645,1.04677,60,4,0
1737708000,1.04681,1.04695,1.0466,1.04672,48,4,0
1737708060,1.04673,1.04687,1.04663,1.04678,43,4,0
1737708120,1.04679,1.04696,1.04669,1.04689,44,4,0
1737708180,1.04688,1.04692,1.04676,1.04686,39,4,0
1737708240,1.04686,1.04687,1.04645,1.04656,76,4,0
1737708300,1.04654,1.04676,1.04654,1.04676,53,4,0
1737708360,1.04671,1.04673,1.04655,1.04655,45,4,0
1737708420,1.04655,1.04666,1.04629,1.04629,52,4,0
1737708480,1.04629,1.04639,1.04622,1.04623,55,4,0
1737708540,1.04622,1.04634,1.04622,1.04631,41,4,0
1737708600,1.04631,1.04665,1.04618,1.04648,58,3,0
1737708660,1.04648,1.04651,1.04628,1.04635,38,4,0
1737708720,1.04635,1.04635,1.04618,1.04619,27,4,0
1737708780,1.04619,1.04624,1.04606,1.04614,23,4,0
1737708840,1.04614,1.04615,1.04602,1.04611,45,4,0
1737708900,1.0461,1.04611,1.04566,1.04567,54,4,0
1737708960,1.04567,1.04567,1.04551,1.04557,45,4,0
1737709020,1.04562,1.04593,1.04559,1.04563,53,4,0
1737709080,1.04564,1.04591,1.04561,1.04584,50,4,0
1737709140,1.04584,1.04585,1.04569,1.0457,48,4,0
1737709200,1.0457,1.04572,1.04546,1.04558,57,4,0
1737709260,1.04559,1.04581,1.04557,1.04563,61,4,0
1737709320,1.0456,1.04574,1.04542,1.04572,52,4,0
1737709380,1.04571,1.04573,1.04548,1.04564,61,4,0
1737709440,1.04564,1.0457,1.04537,1.04538,52,4,0
1737709500,1.04537,1.04544,1.04526,1.04538,47,4,0
1737709560,1.04538,1.04543,1.04524,1.04532,57,4,0
1737709620,1.04531,1.04537,1.04523,1.04525,69,4,0
1737709680,1.04524,1.04533,1.04517,1.04518,55,4,0
1737709740,1.04518,1.04526,1.04503,1.04508,44,4,0
1737709800,1.0451,1.0452,1.04498,1.04519,49,4,0
1737709860,1.04519,1.04533,1.0451,1.04528,58,4,0
1737709920,1.04528,1.04533,1.04498,1.04506,35,4,0
1737709980,1.04506,1.04517,1.04497,1.04506,49,4,0
1737710040,1.04507,1.04507,1.04477,1.04477,59,4,0
1737710100,1.04476,1.04506,1.04472,1.04499,63,4,0
1737710160,1.04498,1.04516,1.0449,1.04514,39,4,0
1737710220,1.04514,1.0453,1.04503,1.04503,44,4,0
1737710280,1.04501,1.04507,1.04496,1.04504,44,4,0
1737710340,1.04502,1.04531,1.04501,1.04522,59,4,0
